"","pairname","test stat","p"
"1","MS_1cpd-MS_5cpd","55","0.001953125"
"2","MS_1cpd-MS_noise","31","0.755859375"
"3","MS_1cpd-MS_natural","36","0.419921875"
"4","MS_5cpd-MS_noise","3","0.009765625"
"5","MS_5cpd-MS_natural","9.5","0.068359375"
"6","MS_noise-MS_natural","37","0.359375"
"7","LS_1cpd-LS_5cpd","52","0.009765625"
"8","LS_1cpd-LS_noise","28","0.015625"
"9","LS_1cpd-LS_natural","45","0.00390625"
"10","LS_5cpd-LS_noise","14.5","0.20703125"
"11","LS_5cpd-LS_natural","18.5","0.67578125"
"12","LS_noise-LS_natural","29.5","0.4453125"
"13","HS_1cpd-HS_5cpd","55","0.001953125"
"14","HS_1cpd-HS_noise","0","0.00390625"
"15","HS_1cpd-HS_natural","1","0.00390625"
"16","HS_5cpd-HS_noise","0","0.001953125"
"17","HS_5cpd-HS_natural","0","0.001953125"
"18","HS_noise-HS_natural","21","0.556640625"
