"","pairname","test stat","p"
"1","MS_1cpd - LS_1cpd","13","0.515625"
"2","MS_1cpd-HS_1cpd","55","0.001953125"
"3","LS_1cpd-HS_1cpd","55","0.001953125"
"4","MS_5cpd - LS_5cpd","1","0.03125"
"5","MS_5cpd-HS_5cpd","55","0.001953125"
"6","LS_5cpd-HS_5cpd","55","0.001953125"
"7","MS_noise - LS_noise","35","0.1640625"
"8","MS_noise-HS_noise","51","0.013671875"
"9","LS_noise-HS_noise","49","0.02734375"
"10","MS_natural - LS_natural","30","0.42578125"
"11","MS_natural-HS_natural","40","0.0390625"
"12","LS_natural-HS_natural","33","0.0390625"
